FeatureValue   |   Average TimeWithMD
       3390      |       23.3793103448      
       1343      |       14.6153846154      
       1345      |       13.7727272727      
       3397      |       25.1851851852      
       3250      |       30.0      
       1355      |       22.5      
       1356      |       26.15      
       1357      |       20.6666666667      
       3406      |       32.5      
       1359      |       18.6842105263      
       1360      |       19.1428571429      
       3409      |       21.6764705882      
       1362      |       20.875      
       1363      |       15.0      
       1366      |       17.0      
       1370      |       22.2941176471      
       2959      |       38.0769230769      
       1372      |       16.0      
       1373      |       9.28571428571      
       1374      |       14.0      
       2277      |       50.0      
       6783      |       15.0      
       1377      |       39.8888888889      
       1379      |       18.1818181818      
       1380      |       15.8823529412      
       1381      |       38.5652173913      
       1383      |       38.1739130435      
       6433      |       30.0      
       1387      |       22.5      
       2092      |       18.652173913      
       2205      |       39.1282051282      
       1397      |       16.8333333333      
       1401      |       12.3076923077      
       1402      |       9.13793103448      
       2623      |       22.8571428571      
       1404      |       19.0666666667      
       1405      |       19.3913043478      
       1407      |       16.4583333333      
       1409      |       19.76      
       1410      |       17.8125      
       1411      |       18.8055555556      
       1415      |       13.7826086957      
       1418      |       24.36      
       1420      |       18.5714285714      
       3116      |       1.25      
       1425      |       17.5      
       1426      |       15.1785714286      
       2627      |       30.0      
       1431      |       14.0454545455      
       6724      |       15.0      
       1435      |       20.0      
       1436      |       21.2142857143      
       1437      |       34.0588235294      
       1438      |       20.0      
       1439      |       16.8076923077      
       1443      |       27.2727272727      
       6423      |       17.7666666667      
       1446      |       16.4285714286      
       1447      |       19.4594594595      
       1448      |       20.68      
       1449      |       27.1428571429      
       1450      |       24.5714285714      
       1451      |       19.25      
       1453      |       30.0      
       1454      |       21.3103448276      
       1455      |       25.625      
       1456      |       21.3333333333      
       2632      |       33.9583333333      
       1460      |       30.0      
       1461      |       31.3235294118      
       1462      |       20.0      
       1465      |       20.7142857143      
       1467      |       14.68      
       1469      |       7.76923076923      
       1472      |       19.2857142857      
       1473      |       26.875      
       1477      |       22.0      
       1478      |       21.7142857143      
       1480      |       15.0      
       1481      |       33.1578947368      
       1482      |       23.5294117647      
       1483      |       21.6666666667      
       1486      |       16.935483871      
       3120      |       12.5      
       1492      |       17.1176470588      
       2638      |       14.875      
       2641      |       19.5384615385      
       1495      |       16.6666666667      
       6735      |       13.7096774194      
       6993      |       10.03125      
       1502      |       16.8333333333      
       6053      |       23.3846153846      
       1504      |       16.25      
       1505      |       15.0      
       1511      |       11.4285714286      
       7034      |       17.8125      
       1513      |       18.8695652174      
       1514      |       19.8      
       1517      |       7.21621621622      
       1518      |       18.125      
       1519      |       14.4736842105      
       1520      |       16.5769230769      
       1522      |       18.3928571429      
       1526      |       15.2105263158      
       1528      |       4.61538461538      
       1530      |       10.9677419355      
       6734      |       13.0      
       1538      |       15.4137931034      
       1539      |       11.0714285714      
       1542      |       23.7142857143      
       1543      |       15.0      
       1545      |       19.3548387097      
       1548      |       11.5151515152      
       1552      |       26.1111111111      
       1554      |       22.8148148148      
       1555      |       12.25      
       1556      |       42.6666666667      
       1559      |       17.25      
       3257      |       25.375      
       3189      |       8.75      
       1568      |       19.5652173913      
       1571      |       14.7804878049      
       1575      |       17.6956521739      
       1576      |       19.4848484848      
       2652      |       17.1923076923      
       1578      |       15.4693877551      
       1579      |       22.2222222222      
       1581      |       13.0      
       1582      |       19.4871794872      
       2312      |       37.1875      
       1588      |       17.0833333333      
       1589      |       11.25      
       1592      |       19.5217391304      
       1594      |       12.125      
       1596      |       11.0869565217      
       6445      |       21.3461538462      
       1598      |       23.6956521739      
       1599      |       19.7692307692      
       1600      |       11.8571428571      
       1603      |       18.3846153846      
       6483      |       15.8333333333      
       3410      |       20.9090909091      
       1607      |       24.7368421053      
       1610      |       17.9545454545      
       2999      |       17.0      
       1612      |       29.0      
       1614      |       37.5      
       1622      |       13.9285714286      
       1624      |       24.5454545455      
       1625      |       16.4761904762      
       1626      |       12.5      
       1627      |       17.9090909091      
       1631      |       20.2857142857      
       6023      |       25.2272727273      
       1635      |       39.5      
       6533      |       15.2777777778      
       3004      |       17.5862068966      
       6465      |       25.2631578947      
       3260      |       23.2916666667      
       1652      |       29.4444444444      
       1653      |       25.2631578947      
       6503      |       24.7      
       1655      |       16.6071428571      
       1657      |       10.0      
       1659      |       24.5      
       1663      |       24.34375      
       1664      |       16.6666666667      
       1665      |       16.935483871      
       1669      |       23.8571428571      
       1670      |       25.0      
       1672      |       45.0      
       1673      |       17.4      
       1674      |       13.2352941176      
       1675      |       27.5416666667      
       1676      |       23.0740740741      
       1677      |       26.6666666667      
       1680      |       30.6896551724      
       6424      |       20.75      
       1682      |       15.8      
       6083      |       23.25      
       1685      |       15.0      
       1687      |       20.6      
       1688      |       16.3953488372      
       3012      |       12.9444444444      
       1692      |       28.4761904762      
       6603      |       15.0      
       1695      |       27.8695652174      
       1697      |       28.4583333333      
       1698      |       19.3571428571      
       1699      |       28.9285714286      
       1700      |       25.0      
       2673      |       8.51063829787      
       1705      |       30.75      
       1706      |       38.9655172414      
       3015      |       24.1666666667      
       2333      |       47.5      
       1713      |       16.2      
       1716      |       17.1428571429      
       2334      |       50.0      
       1718      |       15.0      
       1719      |       17.2666666667      
       1720      |       12.7333333333      
