------------------------------------------
Visualizes the field specified in tools/parser
------------------------------------------
Lines processed: 32281
[0;32mData parsed; constructing histogram [0m
Visualizes a single field's distribution via histogram over a given dataset.
Number of distinct points:  1170
    Field    :    Count  			   
----------------------------------------
   d04355    :     3    
   d00321    :     40    
   a10835    :     1    
   n09011    :     1    
   d00297    :     2    
   n08029    :     1    
   d00396    :     12    
   d00071    :     55    
   d05508    :     61    
   d03455    :     20    
   d05674    :     1    
   d03541    :     7    
   d00525    :     1    
   a11501    :     21    
   c00009    :     1    
   d04242    :     11    
   d00328    :     37    
   d00907    :     33    
   a57024    :     4    
   d01245    :     25    
   d03393    :     11    
   d00744    :     3    
   d04935    :     1    
   d04258    :     119    
   d01278    :     1    
   d00213    :     1    
   a70223    :     1    
   d00755    :     1    
   d00236    :     148    
   a10530    :     1    
   d03409    :     3    
   d00091    :     319    
   d04054    :     1    
   d05539    :     1    
   a70480    :     1    
   d03439    :     7    
   d00253    :     185    
   d05851    :     12    
   d04541    :     10    
   d00078    :     1    
   d03875    :     1    
   d06297    :     11    
   a57158    :     1    
   c00117    :     1    
   d00054    :     4    
   d04332    :     139    
   d00717    :     1    
   d00358    :     3    
   d00023    :     70    
   d04901    :     1    
   d03869    :     2    
   d00303    :     2    
   d03007    :     40    
   n09037    :     2    
   d03782    :     18    
   d00658    :     2    
   d00268    :     2    
   d04836    :     26    
   d00699    :     13    
   d00060    :     15    
   c00248    :     2    
   d04432    :     1    
   a11031    :     2    
   d03994    :     1    
   a11259    :     5    
   d01383    :     7    
   d01469    :     1    
   d03858    :     1    
   d04145    :     18    
   d04029    :     1    
   d04342    :     8    
   d00043    :     42    
   d01018    :     9    
   d04378    :     7    
   d05354    :     2    
   d07395    :     5    
   d05526    :     5    
   d04766    :     6    
   d03221    :     58    
   d03744    :     13    
   d04784    :     3    
   d01348    :     4    
   c00140    :     21    
   d00558    :     33    
   d03805    :     3    
   d00730    :     37    
   a10588    :     1    
   d01158    :     29    
   d00475    :     1    
   d00132    :     13    
   a11424    :     347    
   d04902    :     1    
   d04500    :     78    
   d04121    :     135    
   d00124    :     176    
   d00314    :     27    
   d03820    :     91    
   a54030    :     5    
   d04896    :     34    
   d06848    :     2    
   d03313    :     1    
   d04812    :     180    
   d00184    :     3    
   d05896    :     13    
   c00014    :     1    
   d00874    :     1    
   d06032    :     4    
   d00890    :     1    
   d00583    :     5    
   d05044    :     4    
   c00131    :     29    
   d00867    :     20    
   d00179    :     9    
   d04472    :     1    
   d00298    :     23    
   d03768    :     9    
   d03473    :     39    
   d00143    :     39    
   d04513    :     14    
   d04772    :     3    
   d04674    :     37    
   d03992    :     1    
   d03245    :     1    
   d01246    :     10    
   d04017    :     67    
   d03827    :     105    
   d06851    :     2    
   d00102    :     2    
   d05964    :     1    
   d00012    :     1    
   d04828    :     2    
   a11156    :     2    
   a11332    :     9    
   a11520    :     6    
   a10049    :     1    
   a10150    :     3    
   d01290    :     22    
   d04225    :     8    
   d03847    :     91    
   c00119    :     3    
   d00569    :     11    
   d04150    :     1    
   c00138    :     22    
   d05425    :     17    
   d04160    :     2    
   d07467    :     1    
   d03195    :     4    
   d00840    :     10    
   d04255    :     2    
   a10387    :     1    
   d04986    :     2    
   d03838    :     37    
   d00227    :     3    
   a10880    :     1    
   d05866    :     8    
   d01241    :     8    
   d07347    :     2    
   d04460    :     1    
   d03181    :     102    
   d00644    :     1    
   d07130    :     8    
   d00019    :     165    
   d07367    :     1    
   d03640    :     9    
   a52885    :     54    
   a11576    :     5    
   d00343    :     6    
   d03927    :     1    
   d04419    :     1    
   d03226    :     1    
   d05418    :     2    
   d03459    :     15    
   d01164    :     209    
   d04527    :     11    
   d00797    :     59    
   c00286    :     5    
   d04753    :     38    
   d00070    :     150    
   d03202    :     4    
   d00200    :     2    
   d00787    :     34    
   a59813    :     1    
   a10879    :     4    
   d03061    :     1    
   c00040    :     1    
   d06663    :     65    
   d00308    :     28    
   d03456    :     3    
   d00175    :     6    
   d03546    :     4    
   d01015    :     2    
   d00336    :     2    
   d00089    :     173    
   d00024    :     8    
   d05973    :     2    
   d03474    :     2    
   d00027    :     2    
   d01373    :     1    
   d03809    :     72    
   c00072    :     1    
   d04898    :     2    
   d04445    :     5    
   d00037    :     112    
   d03849    :     67    
   d04112    :     1    
   a57050    :     1    
   d00231    :     6    
   d00094    :     2    
   d00790    :     8    
   d03203    :     8    
   d00058    :     41    
   d05352    :     5    
   d03641    :     16    
   d03381    :     3    
   d00497    :     45    
   d03818    :     5    
   a55330    :     13    
   d04267    :     2    
   d00557    :     14    
   a10726    :     8    
   d04499    :     36    
   d05350    :     70    
   d00758    :     1    
   a59814    :     2    
   a11447    :     3    
   d01271    :     4    
   a11134    :     5    
   d03990    :     7    
   a10916    :     1    
   d04835    :     4    
   d01321    :     1    
   d03214    :     25    
   d00965    :     13    
   d00047    :     2    
   a11126    :     2    
   a10160    :     4    
       :     8621    
   a71022    :     1    
   d01335    :     1    
   d00799    :     1    
   d00537    :     44    
   d00310    :     12    
   d01423    :     4    
   d04115    :     72    
   d01133    :     3    
   d03492    :     4    
   d00775    :     1    
   d01425    :     2    
   a11558    :     1    
   d04109    :     87    
   d04435    :     1    
   a10385    :     5    
   d00363    :     5    
   d05357    :     16    
   d00366    :     1    
   d01307    :     6    
   a11256    :     1    
   d04038    :     5    
   d03689    :     2    
   d06214    :     2    
   a10678    :     3    
   d05337    :     4    
   d03298    :     2    
   d00180    :     10    
   d07382    :     2    
   a11344    :     1    
   d04779    :     6    
   d00571    :     1    
   d03981    :     1    
   d04797    :     20    
   d04329    :     15    
   d07440    :     1    
   c00027    :     1    
   d00772    :     9    
   a07050    :     1    
   d05348    :     38    
   a11440    :     2    
   d03825    :     1    
   d00147    :     1    
   d00150    :     11    
   d00137    :     2    
   d00361    :     2    
   d03833    :     67    
   d00069    :     6    
   d00064    :     5    
   a11328    :     2    
   d00218    :     2    
   d04048    :     23    
   d03126    :     4    
   n08105    :     1    
   d04395    :     29    
   d03302    :     1    
   d00262    :     72    
   d00138    :     1    
   d04737    :     5    
   d07448    :     3    
   d01294    :     14    
   d06635    :     5    
   a11606    :     1    
   n09145    :     1    
   d00101    :     3    
   d00015    :     384    
   d03356    :     1    
   d04458    :     1    
   a10991    :     2    
   d03191    :     18    
   d05422    :     29    
   a10950    :     3    
   d04739    :     1    
   d00237    :     2    
   c00100    :     1    
   d01259    :     6    
   d01289    :     3    
   d04877    :     5    
   d00377    :     3    
   d00400    :     1    
   d04538    :     68    
   d00001    :     31    
   d00198    :     3    
   d04012    :     3    
   d04747    :     21    
   d03133    :     1    
   d00884    :     1    
   d04399    :     28    
   d04413    :     1    
   d00384    :     16    
   d00859    :     44    
   c00301    :     2    
   d04777    :     36    
   d01025    :     7    
   a70159    :     1    
   a11714    :     1    
   n09046    :     1    
   d04322    :     8    
   a10472    :     1    
   d00806    :     23    
   d03389    :     1    
   d00149    :     67    
   c00060    :     1    
   d04125    :     24    
   a11524    :     1    
   d04827    :     30    
   d03280    :     2    
   a11006    :     3    
   d00112    :     54    
   a11465    :     1    
   d03392    :     1    
   d00350    :     187    
   d04363    :     2    
   d06905    :     6    
   d00397    :     5    
   d00033    :     2    
   d03370    :     2    
   d05265    :     24    
   d06842    :     3    
   a10465    :     1    
   d00235    :     12    
   d01026    :     1    
   d03974    :     7    
   n08258    :     1    
   d04750    :     3    
   a10928    :     3    
   d00299    :     7    
   d00252    :     7    
   d01267    :     45    
   d04442    :     63    
   d04118    :     2    
   d04102    :     19    
   d03148    :     25    
   d01257    :     1    
